b112411277,z,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=07F268B6-EF5B-4953-BBB7-773FEE0C8176
b112411307,z,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=AC7F7BAB-FB41-4C1B-8342-852CA2D05309
b112411332,z,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=72023498-8893-464A-B55A-F7CBF0917F22
b112411356,z,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=D80763AA-CA4F-42BD-85DA-EB0E65552533
b11241137x,z,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=1A5B49B9-AFF3-4832-B0DD-82D3235971A8
b112411393,z,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=2032FF59-5A6A-44ED-A610-99F1DDCE3238
b112411411,z,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=6FA94FDE-1BF5-4D07-89D9-4F48B3761464
b112411447,z,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=E0081A86-B5A3-4F4A-B474-BFD3114E5CF2
b112411496,z,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=A0D250CB-3994-4E50-B2E2-6857F7ECB3A8
b112411526,z,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=7B0879FC-59F3-4F15-9452-EA84B81D57D5
b112411587,z,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=F19C80E8-5410-4C5E-83D9-3F82E2B22B67
b112411599,z,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=D9BA8D7C-2A4D-4AD0-9D84-45C65B7DCAF9
b112411629,z,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=852191A1-AF96-41B3-B52F-8A056B547F8D
b112411630,z,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=4F776FAE-9745-452E-8CA9-ED76189E760D
b112411939,z,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=E026A9F8-3B5C-46FF-8DC4-8307F876A975
b112411940,z,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=D1421B71-EDB5-455E-ADDC-374D93792660
b112411952,z,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=22C8EAF0-07BE-4FCB-BCC4-31B77CACF1AE
b112415477,x,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=1D8639FB-821F-477C-9AD6-9405AB2D999B
b11241610x,x,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=807A0C3D-6070-4453-A154-C42ADD53AFEC
b112416111,x,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=47BD3255-59C0-4581-A2B8-78F703DD7874
b112416329,x,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=315CC2E7-28C0-4D39-ACE8-6AACA7D7781E
b112467064,z,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=1C0B9DC4-653A-49F7-9187-2176F6BA859D
b11258505x,x,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=9DF88866-1F1E-4C77-91DA-B5BD76359DC9
b112585309,x,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=8827DF57-736F-42EC-8A89-5E48FEAAB646
b112585310,x,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=52EDB6B5-B9F4-4486-9843-3F0499C890D2
b112585322,x,http://digitalbooks.brooklynpubliclibrary.org/ContentDetails.htm?ID=E2FB2D57-100E-49EB-BDEE-29C25C1315FC
